line,column,X,Y,Z
197.7344799093014,248.4206940184837,266268.6112581593,4756772.166429507,2256.7578125
368.06010276455663,250.07113610041446,266021.1375455269,4757004.926335063,2252.9326171875
406.1853148571573,158.9667331778361,265838.4671959748,4756939.340322672,2365.4501953125
167.25953107086303,300.4749662102655,266497.3405197561,4757064.681610079,2374.6708984375
109.626585333014,173.22766295973085,266262.85878571216,4756368.02589073,2313.6484375
343.92821178651985,276.8286520310318,266123.7037379384,4757042.434803364,2253.20703125
471.4572613930802,57.318762044645695,265457.8517911201,4756868.771442987,2535.458984375
325.9708601336862,58.892253974854896,265569.7184661958,4756389.581357215,2482.892578125
173.18824227984354,210.16259176737205,266229.64836654894,4756616.236598133,2272.9609375
584.7696382078201,228.17258568349507,266379.4996215944,4757526.822984992,2613.2529296875
259.7463067282687,235.2621610770086,266147.00059914246,4756806.994323918,2252.0205078125
11.970096000385979,148.95808767740903,266497.41878468724,4756487.255991425,2459.29296875
115.69381047641548,117.78303243236962,265269.8743287426,4754152.068577416,1754.9052734375
599.4263625360945,84.65764637615757,265483.0478399305,4757265.975076999,2550.6318359375
136.73754318530655,399.44310904621284,266757.3298674167,4757576.551577198,2728.19921875
107.44795944863387,218.09925252107737,266416.3112458753,4756680.160895739,2338.4501953125
537.5727795627618,49.74900117531044,265378.91926596913,4756988.829846995,2584.728515625
